AM,???????????? 1,???????????? 2,???????????? 3,???. ??????. 1,???. ??????.  2,???. ??????. 3
1083954,103111,98100,81526,117721,101167,105975
1066548,60577,45777,42557,94991,98122,83273
1083861,63910,47269,38341,110695,78262,85086
1090034,95248,81331,94971,122182,100254,98894
1040926,118256,99973,72356,161560,133079,158983
1083635,75863,72398,70504,95170,87268,85960
1083866,54960,45679,46148,71820,67664,63135
1083802,60465,52168,43528,93993,82440,79048
1072811,65095,63708,56263,109915,89985,86698
1083712,67664,65233,54623,91078,85442,90159
1083829,62873,56297,55017,109992,102025,101015
1083876,50037,43659,41949,71978,61117,61741
1072842,54230,52438,47679,108215,85413,82116
1097282,65258,59897,45887,109387,89206,82023
1059294,68712,57987,54974,103691,99049,81158
1083820,72434,55254,40896,128698,100542,81098
1084020,72040,65472,59638,136976,109077,100950
1083881,59457,61525,57525,88468,75679,78176
1083865,87877,73198,72558,128086,100650,96928
1072573,85825,58673,55654,119555,100131,91895
1072594,99964,87441,64488,168457,119352,108302
1084009,93568,83811,81472,156148,101706,109714
1041388,45151,50610,33522,83646,78257,78424
1110849,75972,66559,54406,86982,71056,77955
1084549,105808,85829,82736,171197,147380,153194
1083831,31871,28587,30511,95014,76159,71360
1084062,68952,45587,51017,116577,105581,70623
1083864,105532,89178,88573,131178,110982,87220
1089133,73082,84367,70185,126862,112949,103569
1070518,93402,83901,81288,156227,101588,109856
1083868,90039,77909,54192,103509,102382,86647
